,Name,Distance,Mass,Radius,Gravity
0,SDSS J000013.54+255418.6 [de],46.1,9.5472e+31,688743000.0,13432.220946902917
1,2MASS J00040288-6410358,192.0,3.7791e+31,1133991000.0,1961.3512242583104
2,2MASS J00242463-0158201,37.7,1.57131e+32,758313000.0,18236.90241167102
3,2MASS J00274197+0503417,236.0,6.165899999999999e+31,1001808000.0,4100.281638332751
4,2MASSW J0030300-145033,87.2,1.07406e+32,681786000.0,15421.214825923567
5,2MASS J00332386-1521309 [de],131.0,5.7681000000000005e+31,994851000.0,3889.5817312962217
6,2MASS J00345157+0523050,31.0,8.3538e+31,653958000.0,13036.786760187986
7,2MASS 0036+1821,28.6,8.3538e+31,653958000.0,13036.786760187986
8,2MASSW J0045214+163445,57.0,4.574699999999999e+31,1127034000.0,2403.669682049306
9,WISEP J004701.06+680352.1 [fr],40.0,2.3868e+31,904410000.0,1947.4733358076253
10,2MASS J00501994-3322402 [de],34.0,7.956e+31,653958000.0,12415.987390655226
11,2MASS J00584253-0651239 [de],96.0,5.7681000000000005e+31,994851000.0,3889.5817312962217
12,2MASSI J0103320+193536,70.0,1.03428e+32,681786000.0,14850.058721259731
13,SDSSp J010752.33+004156.1 [de],51.0,1.03428e+32,681786000.0,14850.058721259731
14,2MASSI J0117474-340325 [de],163.0,3.978e+31,1127034000.0,2090.147549608093
15,2MASS J01415823-4633574 [de],130.0,3.978e+31,1120077000.0,2116.192750739354
16,SDSS J015141.69+124429.6,70.0,9.348300000000001e+31,674829000.0,13700.340725475582
17,SDSS J020742.48+000056.2 [de],111.0,9.348300000000001e+31,674829000.0,13700.340725475582
18,2MASS J02103857-3015313,101.0,2.9835e+31,1064421000.0,1757.459704341753
19,2MASS J02340093-6442068,155.0,3.978e+31,1127034000.0,2090.147549608093
20,2MASS J02411151-0326587 [de],152.0,5.3703e+31,980937000.0,3724.796217196568
21,2MASS J02431371−2453298,35.0,6.5637e+31,688743000.0,9234.651900995756
22,LP 771-21,53.0,1.55142e+32,751356000.0,18341.04474781101
23,Teegarden's star,12.578,1.5912e+32,883539000.0,13603.7776159501
24,2MASS J02535980+3206373,184.0,1.29285e+32,1321830000.0,4938.364403011719
25,WISE J0254+0223,24.0,1.29285e+32,1321830000.0,4938.364403011719
26,DEN 0255-4700,16.2,1.5912e+32,674829000.0,23319.728894426524
27,2MASS J03185403-3421292 [de],45.0,9.7461e+31,674829000.0,14283.333947836243
28,2MASS J03205965+1854233,47.0,1.75032e+32,800054999.9999999,18250.04628237619
29,2MASS J03231002-4631237,192.0,4.574699999999999e+31,1154862000.0,2289.225835959573
30,SDSS J032553.17+042540.1,59.0,8.9505e+31,660915000.0,13675.470654493993
31,2MASS J03264225-2102057 [de],80.0,3.5802e+31,904410000.0,2921.2100037114383
32,2MASS J03284265+2302051 [de],98.0,1.07406e+32,681786000.0,15421.214825923567
33,2MASS J03341218-4953322,27.0,1.45197e+32,723528000.0,18511.13978046311
34,LP 944-20,20.9,1.45197e+32,994851000.0,9791.016082228422
35,2MASP J0345432+254023,88.0,1.47186e+32,730485000.0,18408.9958712095
36,Teide 1,380.0,1.09395e+32,2629746000.0,1055.7377929142915
37,2MASS J03510004-0052452,48.0,2.02878e+32,883539000.0,17344.816460336377
38,2MASS J03552337+1133437,29.8,3.978e+31,918324000.0,3148.1767844303718
39,2MASS J04151954−0935066,18.6,5.967e+31,660915000.0,9116.980436329328
40,2MASS J04285096-2253227 [de],85.0,1.5912e+32,758313000.0,18467.749277641546
41,2MASS J04351612-1606574,34.0,1.9889999999999997e+32,876582000.0,17275.709338597502
42,2MASS J04362788-4114465,142.0,7.757099999999999e+31,1370529000.0,2756.1898778436403
43,2MASS J04390101-2353083 [de],29.5,9.5472e+31,674829000.0,13991.837336655914
44,2MASS J04433764+0002040,82.0,4.3758e+31,1238346000.0,1904.406499214312
